email,stage,subject,resend_id,ts
bridges2recovery4you@gmail.com,1,Quick follow-up — Bridges 2 Recovery,,2026-07-09 16:43:44
info@commongroundmn.org,1,Quick follow-up — Common Ground - Rochester,,2026-07-09 16:43:44
info@sabalrecoverycenters.com,1,Quick follow-up — Sabal Recovery Centers,,2026-07-09 16:43:44
info@startingpointnh.com,1,Quick follow-up — Starting Point Sober Living,724af02e-c0dc-4808-b6c2-06b5b2f0fe80,2026-07-09 16:43:44
info@doverecoveryhouse.org,1,Quick follow-up — Dove Recovery House for Women,,2026-07-09 16:43:44
hazelsoulinc@gmail.com,1,Quick follow-up — Hazel Soul LLC,,2026-07-09 16:43:44
neveralonetransitional@gmail.com,1,Quick follow-up — Never Alone Recovery,,2026-07-09 16:43:44
info@covenantatlanta.org,1,Quick follow-up — Covenant Community,c00d0899-dc46-4287-bc2a-16310761f002,2026-07-09 16:43:44
jay@sawtoothrivergroup.com,1,Quick follow-up — 208 Houses Property Management (Sawtooth River Group),fd875597-ea30-48ea-97da-fa8e7540d813,2026-07-09 16:43:44
serenityhousegb@gmail.com,1,Quick follow-up — Serenity House of Green Bay,bceafefa-da98-4126-b375-6a55fa4b0129,2026-07-09 16:43:44
